,movie_title,movie_id,user_id
0,Shrek 2,8360,213
1,"Beautiful Mind, A",4995,213
2,Enemy of the State,2353,213
3,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1198,213
4,"Sixth Sense, The",2762,213
5,"Monsters, Inc.",4886,213
6,Who Framed Roger Rabbit?,2987,213
7,"Big Lebowski, The",1732,213
8,"Goonies, The",2005,213
9,Gladiator,3578,213
10,Best in Show,3911,213
0,Tommy Boy,333,381
1,Space Jam,673,381
2,Reservoir Dogs,1089,381
3,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1198,381
4,12 Angry Men,1203,381
5,Monty Python's Life of Brian,1080,381
6,Mrs. Doubtfire,500,381
7,"Lock, Stock & Two Smoking Barrels",2542,381
8,Being John Malkovich,2997,381
9,"Silence of the Lambs, The",593,381
10,Platoon,1090,381
0,Batman,592,580
1,Some Like It Hot,910,580
2,Mrs. Doubtfire,500,580
3,Crocodile Dundee,2470,580
4,"Piano, The",509,580
5,Casablanca,912,580
6,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1198,580
7,Twister,736,580
8,Apocalypse Now,1208,580
9,There's Something About Mary,1923,580
10,Indiana Jones and the Temple of Doom,2115,580
